time,flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
120.53900742435508,3.1230866e+05,1.5100382e+01,0,8.550044e-04,179.91579,615.85341,568,3.1178103e+05,1.5097328e+01,2.8354380e+03,1.3012959e+00,3.1230866e+05,1.5100382e+01,0,,,,,179.91579,6.9586677e-05,615.85341,5.4353437e-05,-1.4607409e-03,3.5337068e-03
120.55944174409524,3.1227566e+05,1.5156554e+01,0,8.557241e-04,179.91600,615.85347,569,3.1175097e+05,1.5096919e+01,2.8441611e+03,1.3040152e+00,3.1227566e+05,1.5156554e+01,0,,,,,179.91600,6.9587884e-05,615.85347,5.4360149e-05,-1.1929076e-03,3.6978703e-03
120.57987596383464,3.1231019e+05,1.5168389e+01,0,8.564438e-04,179.91604,615.85321,570,3.1177844e+05,1.5098232e+01,2.8446782e+03,1.3008099e+00,3.1231019e+05,1.5168389e+01,0,,,,,179.91604,6.9586698e-05,615.85321,5.4356773e-05,-1.0024284e-03,3.5327603e-03
120.60031038356829,3.1222909e+05,1.5071846e+01,10000000,8.571636e-04,179.91653,615.85324,571,3.1173134e+05,1.5096980e+01,2.8429888e+03,1.3055528e+00,3.1222909e+05,1.5071846e+01,10000000,,,,,179.91653,6.9590933e-05,615.85324,5.4356849e-05,-5.6158245e-04,3.3443142e-03
120.62074470325024,3.1228475e+05,1.5164816e+01,0,8.578832e-04,179.91669,615.85288,572,3.1176266e+05,1.5098287e+01,2.8425586e+03,1.3027847e+00,3.1228475e+05,1.5164816e+01,0,,,,,179.91669,6.9593836e-05,615.85288,5.4362863e-05,-2.9510944e-04,3.3509261e-03
120.64117892293143,3.1226291e+05,1.5094578e+01,0,8.586029e-04,179.91674,615.85278,573,3.1176109e+05,1.5097275e+01,2.8402161e+03,1.3063352e+00,3.1226291e+05,1.5094578e+01,0,,,,,179.91674,6.9586386e-05,615.85278,5.4350247e-05,-8.1684761e-05,2.9048885e-03
120.66161324260611,3.1225712e+05,1.5113265e+01,10000000,8.593226e-04,179.91680,615.85293,574,3.1174666e+05,1.5097007e+01,2.8430410e+03,1.3027490e+00,3.1225712e+05,1.5113265e+01,10000000,,,,,179.91680,6.9589340e-05,615.85293,5.4359112e-05,1.0091478e-04,3.1171264e-03
120.68204766223062,3.1227575e+05,1.5103154e+01,0,8.600422e-04,179.91684,615.85280,575,3.1177031e+05,1.5097208e+01,2.8382690e+03,1.3019427e+00,3.1227575e+05,1.5103154e+01,0,,,,,179.91684,6.9583992e-05,615.85280,5.4353870e-05,9.1682872e-05,2.9421994e-03
120.7024818818536,3.1228972e+05,1.5103824e+01,0,8.607619e-04,179.91682,615.85279,576,3.1177156e+05,1.5097420e+01,2.8378030e+03,1.3059497e+00,3.1228972e+05,1.5103824e+01,0,,,,,179.91682,6.9579102e-05,615.85279,5.4352746e-05,7.8031801e-05,3.0023353e-03
120.72291620152828,3.1225081e+05,1.5097434e+01,0,8.614815e-04,179.91693,615.85262,577,3.1173922e+05,1.5096663e+01,2.8375862e+03,1.3030823e+00,3.1225081e+05,1.5097434e+01,0,,,,,179.91693,6.9601898e-05,615.85262,5.4353612e-05,2.4407402e-04,2.6694655e-03
120.74335062109458,3.1229238e+05,1.5128643e+01,0,8.622011e-04,179.91702,615.85295,578,3.1178112e+05,1.5098145e+01,2.8406594e+03,1.3003384e+00,3.1229238e+05,1.5128643e+01,0,,,,,179.91702,6.9583235e-05,615.85295,5.4356846e-05,2.9751094e-04,3.1818126e-03
120.76378484071756,3.1223159e+05,1.5034841e+01,10000000,8.629207e-04,179.91686,615.85286,579,3.1173594e+05,1.5096560e+01,2.8402466e+03,1.2996864e+00,3.1223159e+05,1.5034841e+01,10000000,,,,,179.91686,6.9590649e-05,615.85286,5.4353357e-05,1.7886360e-04,2.8539195e-03
120.78421916027582,3.1228306e+05,1.5135207e+01,0,8.636403e-04,179.91691,615.85268,580,3.1176541e+05,1.5098242e+01,2.8367668e+03,1.3050038e+00,3.1228306e+05,1.5135207e+01,0,,,,,179.91691,6.9590576e-05,615.85268,5.4360949e-05,1.5077110e-04,3.0647109e-03
120.80465347984136,3.1227172e+05,1.5148131e+01,0,8.643598e-04,179.91694,615.85293,581,3.1175053e+05,1.5097821e+01,2.8360334e+03,1.3034756e+00,3.1227172e+05,1.5148131e+01,0,,,,,179.91694,6.9588474e-05,615.85293,5.4360524e-05,2.3334482e-04,3.2205377e-03
120.8250877993487,3.1226425e+05,1.5130464e+01,10000000,8.650793e-04,179.91689,615.85261,582,3.1175778e+05,1.5097248e+01,2.8400200e+03,1.3020704e+00,3.1226425e+05,1.5130464e+01,10000000,,,,,179.91689,6.9583366e-05,615.85261,5.4357202e-05,1.7496746e-04,2.8479001e-03
