koi_period,koi_prad,koi_srad,koi_steff,koi_slogg,label,mission
9.48803557,2.26,0.927,5455.0,4.467,1.0,Kepler
54.4183827,2.83,0.927,5455.0,4.467,1.0,Kepler
19.89913995,14.6,0.868,5853.0,4.544,1.0,Kepler
1.736952453,33.46,0.791,5805.0,4.564,0.0,Kepler
2.525591777,2.75,1.046,6031.0,4.438,1.0,Kepler
11.09432054,3.9,0.972,6046.0,4.486,1.0,Kepler
4.13443512,2.77,0.972,6046.0,4.486,1.0,Kepler
2.56658897,1.59,0.972,6046.0,4.486,1.0,Kepler
7.36178958,39.21,1.958,6227.0,3.986,0.0,Kepler
16.06864674,5.76,0.848,5031.0,4.485,1.0,Kepler
2.470613377,13.04,0.964,5820.0,4.457,1.0,Kepler
2.204735417,16.1,1.952,6440.0,4.019,1.0,Kepler
3.522498429,14.59,1.451,6225.0,4.169,1.0,Kepler
3.709214104,1.16,1.022,5833.0,4.407,1.0,Kepler
11.521446064,150.51,0.848,5795.0,4.554,0.0,Kepler
19.40393776,7.18,0.68,5043.0,4.591,0.0,Kepler
19.221388942,49.29,0.947,6117.0,4.496,0.0,Kepler
16.46983774,7.94,0.786,5152.0,4.517,0.0,Kepler
9.27358173,2.47,0.696,4856.0,4.583,1.0,Kepler
6.02930329,2.85,0.672,4537.0,4.648,1.0,Kepler
2.696370652,1.58,0.819,4989.0,4.504,0.0,Kepler
5.349553819,2.55,0.91,5185.0,4.44,1.0,Kepler
3.94105221,1.7,0.91,5185.0,4.44,1.0,Kepler
8.10904807,1.3,0.91,5185.0,4.44,1.0,Kepler
386.6030528,41.5,1.58,5543.0,4.081,0.0,Kepler
21.67699193,2.95,0.828,4954.0,4.5,1.0,Kepler
4.99677968,2.78,0.847,5339.0,4.552,1.0,Kepler
4.280963604,2.3,0.831,5644.0,4.564,1.0,Kepler
1.50635409,4.53,0.831,5714.0,4.563,0.0,Kepler
670.645531,14.14,0.983,5520.0,4.466,0.0,Kepler
61.2563628,39.87,1.091,6144.0,4.402,0.0,Kepler
38.3775486,2.82,1.036,5481.0,4.369,1.0,Kepler
41.19725502,3.86,0.848,5031.0,4.485,1.0,Kepler
6.252962249,2.65,0.848,5031.0,4.485,1.0,Kepler
16.01308419,3.1,0.826,5015.0,4.499,1.0,Kepler
32.62876672,3.36,0.798,5586.0,4.56,1.0,Kepler
91.7732862,2.12,0.798,5586.0,4.56,1.0,Kepler
4.959319244,12.21,1.082,5712.0,4.359,1.0,Kepler
2.701287801,6.54,0.91,5550.0,4.468,0.0,Kepler
4.49876511,2.1,0.969,6075.0,4.486,1.0,Kepler
19.651209505,12.42,1.063,6074.0,4.391,0.0,Kepler
5.412203927,2.94,1.087,5779.0,4.339,1.0,Kepler
41.43958662,5.5,1.046,5468.0,4.367,1.0,Kepler
8.35389523,2.52,0.787,5592.0,4.582,1.0,Kepler
4.125543472,4.43,1.103,6174.0,4.417,1.0,Kepler
2.816504904,12.21,0.955,5532.0,4.452,1.0,Kepler
33.93373447,7.34,0.705,5040.0,4.628,0.0,Kepler
3.689920099,1.89,0.917,5880.0,4.518,1.0,Kepler
4.431238488,3.25,1.015,5714.0,4.428,1.0,Kepler
11.37936986,3.95,1.015,5714.0,4.428,1.0,Kepler
26.39432897,3.07,0.763,5129.0,4.595,1.0,Kepler
13.57078281,2.64,1.012,5854.0,4.406,1.0,Kepler
7.12594387,1.79,1.087,5779.0,4.339,1.0,Kepler
7.442652004,15.03,0.956,6108.0,4.469,0.0,Kepler
16.38489988,2.0,0.615,4126.0,4.661,1.0,Kepler
7.8774163,2.16,0.615,4126.0,4.661,1.0,Kepler
36.4454001,1.99,0.615,4126.0,4.661,1.0,Kepler
3.728732147,6.02,0.809,5497.0,4.577,1.0,Kepler
40.4195037,7.51,0.781,5446.0,4.507,1.0,Kepler
2.243380573,1.99,0.564,4149.0,4.698,1.0,Kepler
10.405998015,11.23,0.924,5746.0,4.393,0.0,Kepler
2.337437946,2.34,0.765,5005.0,4.595,1.0,Kepler
7.2406612,19.45,0.765,5005.0,4.595,1.0,Kepler
3.43591631,0.55,1.087,5779.0,4.339,1.0,Kepler
11.59822233,2.65,0.473,3688.0,4.79,1.0,Kepler
6.575315881,5.31,0.989,5992.0,4.415,1.0,Kepler
7.275040844,4.86,0.867,5485.0,4.556,1.0,Kepler
19.27153892,1.93,0.56,4077.0,4.702,1.0,Kepler
10.06524317,1.91,0.56,4077.0,4.702,1.0,Kepler
12.3935651,2.66,0.75,5557.0,4.603,1.0,Kepler
43.84439721,2.87,1.012,5854.0,4.406,1.0,Kepler
3.341913228,21.55,0.811,5295.0,4.551,0.0,Kepler
1.626630225,32.43,0.973,5735.0,4.41,0.0,Kepler
2.711504086,3.12,1.076,6214.0,4.442,1.0,Kepler
7.21203748,3.32,1.076,6214.0,4.442,1.0,Kepler
14.1798187,1.88,0.878,5799.0,4.539,0.0,Kepler
8.47237911,2.59,0.788,5354.0,4.587,1.0,Kepler
60.4189369,2.36,0.788,5354.0,4.587,1.0,Kepler
12.611904345,7.4,0.919,5795.0,4.508,1.0,Kepler
1.433769925,46.58,1.339,6017.0,4.22,0.0,Kepler
10.31872301,28.59,1.06,5927.0,4.409,0.0,Kepler
2.539183147,2.06,1.062,5519.0,4.35,1.0,Kepler
6.770300385,2.77,0.679,5653.0,4.656,1.0,Kepler
0.444291966,27.51,0.636,5255.0,4.678,0.0,Kepler
10.181584004,7.73,0.836,5988.0,4.541,1.0,Kepler
20.06036336,1.96,0.493,3950.0,4.754,1.0,Kepler
46.1842039,1.83,0.493,3950.0,4.754,1.0,Kepler
23.9800854,1.31,1.012,5854.0,4.406,1.0,Kepler
7.82502168,1.2,0.493,3950.0,4.754,1.0,Kepler
3.895936525,7.34,0.774,5557.0,4.592,1.0,Kepler
22.36646466,2.32,0.734,5395.0,4.615,1.0,Kepler
1.625522174,9.73,1.106,5539.0,4.322,1.0,Kepler
19.620346923,13.6,0.905,5710.0,4.492,1.0,Kepler
7.544039,17.47,0.824,5657.0,4.567,0.0,Kepler
9.02930689,2.57,0.82,5349.0,4.526,1.0,Kepler
10.328035714,13.28,1.024,5627.0,4.359,0.0,Kepler
143.2063047,8.9,0.867,5485.0,4.556,1.0,Kepler
6.164876,0.79,1.012,5854.0,4.406,1.0,Kepler
60.32494216,12.19,0.867,5485.0,4.556,1.0,Kepler
29.1598615,1.91,0.867,5485.0,4.556,1.0,Kepler
1.540397253,25.69,0.915,5663.0,4.53,0.0,Kepler
2.99025443,1.7,0.731,4667.0,4.578,0.0,Kepler
1.594745374,11.3,0.893,5934.0,4.491,1.0,Kepler
4.783002698,2.5,0.807,5170.0,4.574,1.0,Kepler
20.50588921,3.41,0.761,4905.0,4.544,1.0,Kepler
3.340218842,2.03,0.493,3950.0,4.754,1.0,Kepler
2.507089906,30.26,0.939,5926.0,4.506,0.0,Kepler
18.64932728,3.12,1.053,5775.0,4.405,1.0,Kepler
4.90144976,1.7,1.402,5847.0,4.191,1.0,Kepler
9.75192101,2.76,1.053,5775.0,4.405,1.0,Kepler
38.5576546,4.02,1.053,5775.0,4.405,1.0,Kepler
3.525632539,11.58,0.793,5150.0,4.572,1.0,Kepler
34.84398644,7.61,0.871,5509.0,4.482,1.0,Kepler
7.748094239,5.52,1.085,5973.0,4.439,1.0,Kepler
23.96793669,1.8,0.524,3747.0,4.728,1.0,Kepler
8.29561738,1.82,0.524,3747.0,4.728,1.0,Kepler
8.11437482,2.1,0.517,3692.0,4.753,1.0,Kepler
38.036729482,27.5,0.932,5575.0,4.521,0.0,Kepler
4.64090031,30.09,0.826,6463.0,4.5,1.0,Kepler
3.747838198,13.65,0.826,5514.0,4.569,0.0,Kepler
14.74914825,2.89,1.402,5847.0,4.191,1.0,Kepler
21.81295996,3.38,0.999,5601.0,4.41,1.0,Kepler
7.91936937,10.34,0.776,5690.0,4.588,0.0,Kepler
1.028436523,72.77,0.99,6228.0,4.428,1.0,Kepler
15.37562369,11.01,0.833,4986.0,4.496,1.0,Kepler
8.10363271,2.11,0.732,4861.0,4.574,1.0,Kepler
4.71510843,1.46,0.732,4861.0,4.574,1.0,Kepler
6.365839713,2.44,0.849,5776.0,4.554,1.0,Kepler
5.97581754,3.86,0.997,6108.0,4.471,0.0,Kepler
2.446737317,26.25,0.863,5764.0,4.548,0.0,Kepler
3.04033046,8.99,0.791,5035.0,4.519,1.0,Kepler
15.33528675,5.0,0.817,5251.0,4.581,1.0,Kepler
7.95825328,1.06,1.402,5847.0,4.191,1.0,Kepler
31.33046135,6.5,0.817,5251.0,4.581,1.0,Kepler
3.9043425,12.28,0.898,5810.0,4.526,0.0,Kepler
9.286358079,17.61,0.821,5670.0,4.523,0.0,Kepler
3.951405455,31.44,0.869,6046.0,4.539,0.0,Kepler
23.65369415,7.89,1.384,5739.0,4.191,1.0,Kepler
13.23352214,3.06,1.384,5739.0,4.191,1.0,Kepler
6.15560285,2.32,1.384,5739.0,4.191,1.0,Kepler
2.090811305,1.62,1.384,5739.0,4.191,1.0,Kepler
3.180027898,1.53,1.402,5847.0,4.191,1.0,Kepler
50.4467417,2.67,1.384,5739.0,4.191,1.0,Kepler
11.76307164,2.35,0.756,4959.0,4.603,1.0,Kepler
56.2279271,2.37,0.756,4959.0,4.603,1.0,Kepler
2.384052875,17.06,0.701,4794.0,4.58,0.0,Kepler
7.953547,2.25,0.779,4768.0,4.536,1.0,Kepler
4.14451656,1.48,0.779,4768.0,4.536,1.0,Kepler
4.859386384,38.33,0.988,6072.0,4.47,0.0,Kepler
10.526294577,8.24,0.793,5386.0,4.553,1.0,Kepler
4.583520948,5.39,0.877,5815.0,4.54,1.0,Kepler
3.76181843,2.66,0.949,5653.0,4.472,1.0,Kepler
8.20396958,3.01,0.826,5015.0,4.499,1.0,Kepler
14.49645186,3.01,0.826,5015.0,4.499,1.0,Kepler
6.54626149,2.19,0.817,5251.0,4.581,1.0,Kepler
12.71809866,2.31,0.686,4702.0,4.592,1.0,Kepler
36.06588163,2.64,0.686,4702.0,4.592,1.0,Kepler
4.190425659,6.21,1.135,6073.0,4.392,1.0,Kepler
3.709870784,4.35,0.978,5727.0,4.463,1.0,Kepler
16.3297527,3.75,0.987,5878.0,4.444,1.0,Kepler
27.807566216,13.84,0.785,5862.0,4.584,1.0,Kepler
80.8723469,7.59,1.238,5510.0,4.222,1.0,Kepler
3.166465862,26.82,0.704,4968.0,4.575,0.0,Kepler
24.99324319,2.29,1.317,5718.0,4.181,1.0,Kepler
10.35533116,2.47,0.918,5501.0,4.462,1.0,Kepler
16.08518937,3.68,0.826,5239.0,4.523,1.0,Kepler
235.9986399,10.59,0.657,4245.0,4.627,1.0,Kepler
7.49018305,2.56,0.787,5103.0,4.562,1.0,Kepler
36.2761238,3.03,0.787,5103.0,4.562,1.0,Kepler
17.46087931,2.32,0.787,5103.0,4.562,1.0,Kepler
56.0560754,1.94,0.491,3593.0,4.757,1.0,Kepler
41.408316686,11.38,0.747,5522.0,4.586,1.0,Kepler
39.74893077,14.21,0.964,6122.0,4.487,1.0,Kepler
5.715425977,2.47,0.826,5237.0,4.572,1.0,Kepler
49.18394185,8.2,2.057,5626.0,3.907,1.0,Kepler
20.0261412,2.28,0.826,5237.0,4.572,1.0,Kepler
13.61014819,19.02,0.903,5697.0,4.46,1.0,Kepler
10.44331991,2.66,0.802,4947.0,4.516,0.0,Kepler
2.237489571,1.41,0.81,5265.0,4.58,1.0,Kepler
5.851520671,14.62,0.806,5532.0,4.53,0.0,Kepler
3.167893418,2.62,0.94,5895.0,4.503,1.0,Kepler
4.311780262,3.11,0.927,5527.0,4.484,1.0,Kepler
20.0504494,2.69,0.927,5527.0,4.484,1.0,Kepler
9.76734503,2.67,0.927,5527.0,4.484,1.0,Kepler
119.0207044,8.98,1.062,5453.0,4.342,1.0,Kepler
190.3200468,7.78,2.057,5626.0,3.907,1.0,Kepler
2.861159894,4.37,1.021,6126.0,4.458,0.0,Kepler
26.44439337,3.91,0.929,5427.0,4.463,1.0,Kepler
51.53997972,5.51,0.929,5427.0,4.463,1.0,Kepler
5.902245782,2.43,0.929,5427.0,4.463,1.0,Kepler
2.382951591,1.86,0.929,5427.0,4.463,1.0,Kepler
21.02250608,3.07,0.75,5067.0,4.585,1.0,Kepler
3.219814777,1.69,0.787,5103.0,4.562,1.0,Kepler
5.912273234,1.73,0.57,4072.0,4.696,1.0,Kepler
8.98581901,1.65,0.57,4072.0,4.696,1.0,Kepler
12.940668656,22.94,0.809,5875.0,4.572,1.0,Kepler
20.5452375,2.41,1.264,5670.0,4.206,0.0,Kepler
33.60123371,8.46,0.93,5149.0,4.447,1.0,Kepler
6.76652928,1.97,0.93,5149.0,4.447,1.0,Kepler
4.347288783,2.36,1.122,5754.0,4.345,1.0,Kepler
4.601811819,2.35,0.833,4986.0,4.496,1.0,Kepler
11.18719905,1.55,0.833,4986.0,4.496,1.0,Kepler
4.220965778,2.62,0.517,3837.0,4.747,1.0,Kepler
6.998099523,588.66,0.829,5612.0,4.566,0.0,Kepler
5.95489993,2.33,0.633,4261.0,4.641,1.0,Kepler
12.03987488,2.18,0.633,4261.0,4.641,1.0,Kepler
20.83762895,1.42,0.633,4261.0,4.641,1.0,Kepler
8.8111022,63.66,2.404,6200.0,3.8,0.0,Kepler
23.58917143,3.16,0.721,4919.0,4.566,1.0,Kepler
6.481633073,2.54,1.302,5945.0,4.213,1.0,Kepler
10.37168928,3.2,0.888,5121.0,4.457,1.0,Kepler
3.96996298,1.78,0.888,5121.0,4.457,1.0,Kepler
4.40841331,2.66,0.961,6007.0,4.457,1.0,Kepler
7.9426176,4.68,0.926,5811.0,4.521,0.0,Kepler
226.8904775,4.53,0.75,5067.0,4.585,1.0,Kepler
1.956811408,21.58,0.603,5209.0,4.657,0.0,Kepler
2.688899233,12.04,0.639,4820.0,4.667,1.0,Kepler
9.439459486,4.16,0.779,5097.0,4.597,1.0,Kepler
11.523067458,3.13,1.411,5644.0,4.162,1.0,Kepler
20.47748843,2.92,0.779,5097.0,4.597,1.0,Kepler
3.336123113,1.74,0.779,5097.0,4.597,1.0,Kepler
8.01078456,1.72,0.47,3713.0,4.779,1.0,Kepler
12.07134205,1.29,0.47,3713.0,4.779,1.0,Kepler
20.99587872,1.3,0.47,3713.0,4.779,1.0,Kepler
7.41113177,2.45,0.919,5849.0,4.517,1.0,Kepler
1.000747038,4.14,0.79,5472.0,4.499,0.0,Kepler
8.884922995,10.51,0.843,5332.0,4.5,1.0,Kepler
8.09888906,8.95,1.076,6214.0,4.442,1.0,Kepler
10.00653012,3.52,1.001,6063.0,4.47,1.0,Kepler
17.855221681,13.16,1.367,6823.0,4.308,1.0,Kepler
12.732624065,4.87,0.541,3950.0,4.721,1.0,Kepler
83.92494032,4.78,0.509,3960.0,4.746,1.0,Kepler
5.007316661,6.96,0.827,5865.0,4.563,1.0,Kepler
2.211116989,1.85,0.646,4500.0,4.656,1.0,Kepler
27.9541337,1.9,0.646,4500.0,4.656,1.0,Kepler
12.69104387,2.57,1.626,5869.0,4.024,1.0,Kepler
4.409409243,10.95,0.975,5600.0,4.368,0.0,Kepler
16.23947096,4.14,0.837,5191.0,4.564,1.0,Kepler
6.308201629,2.96,0.837,5191.0,4.564,1.0,Kepler
2.052349884,13.12,1.08,5855.0,4.393,1.0,Kepler
9.7704486,2.23,0.509,3906.0,4.73,1.0,Kepler
5.169804269,1.66,0.509,3906.0,4.73,1.0,Kepler
21.22261195,2.48,1.302,5945.0,4.213,1.0,Kepler
20.09017037,2.25,0.509,3906.0,4.73,1.0,Kepler
7.11373257,1.16,0.411,3561.0,4.855,1.0,Kepler
3.306551643,0.91,0.411,3561.0,4.855,1.0,Kepler
15.36845737,1.11,0.411,3561.0,4.855,1.0,Kepler
13.81020318,4.56,1.142,5942.0,4.327,1.0,Kepler
4.093578461,2.85,0.999,6077.0,4.471,1.0,Kepler
105.145959,3.43,0.999,6077.0,4.471,1.0,Kepler
